"","site","lat","lon","elev","veg","MAP","MAT","firstyear","lastyear","GSstart","GSend","SM_15pct","SM_30pct","SM_50pct","SM_70pct","SM_90pct","SM_100pct","nfull","nfull_SMbin1","nfull_SMbin2","nfull_SMbin3","nfull_SMbin4","nfull_SMbin5","nfull_SMbin6","nNEE","nLE","nGPP","nWUE","niWUE","nGs"
"23","US_SRM",31.8214,-110.8661,1120,"WSA",380,17.92,2015,2020,209,239,0.225028365850449,0.245617851614952,0.259211868047714,0.266861647367477,0.275086760520935,0.287112593650818,986,150,147,197,198,198,96,1302,1311,1302,1293,1266,1007
"24","US_Syv",46.242,-89.3477,540,"MF",826,3.81,2015,2021,160,235,0.237443178892136,0.24333530664444,0.249569162726402,0.25525027513504,0.265519908070564,0.29921093583107,3807,571,571,762,763,759,381,4021,4031,4021,4010,3819,3819
"25","US_Ton",38.4309,-120.966,177,"WSA",559,15.8,2015,2020,98,139,0.241767942905426,0.279477208852768,0.303953737020493,0.328383702039719,0.361413466930389,0.384637176990509,1358,209,203,268,272,272,134,3016,3020,3016,3012,2639,1361
"26","US_Tw1",38.1074,-121.6469,-5,"WET",421,15.5,2015,2020,176,250,0.283408164978027,0.294024616479874,0.305371016263962,0.321669399738312,0.351923108100891,0.405285239219666,7425,1119,1114,1483,1483,1487,739,7537,7537,7537,7536,7426,7442
"27","US_UMB",45.5598,-84.7138,234,"DBF",803,5.83,2015,2021,161,221,0.089182049036026,0.0921420529484749,0.0956775546073914,0.100154258310795,0.107129782438278,0.117503359913826,2696,406,404,543,537,536,270,3767,3780,3767,3747,2753,2719
"28","US_UMd",45.5625,-84.6975,239,"DBF",803,5.83,2015,2021,158,222,0.0899473056197166,0.0936955466866493,0.097879983484745,0.103119064867497,0.110940545797348,0.132365763187408,5317,799,796,1065,1065,1060,532,6409,6438,6409,6362,5381,5393
"29","US_Var",38.4133,-120.9508,129,"GRA",559,15.8,2015,2020,76,123,0.269848763942719,0.30764177441597,0.338376522064209,0.359940946102142,0.379501193761826,0.396216481924057,1645,247,251,326,328,332,161,2953,2957,2953,2952,2651,1647
"30","US_Vcm",35.8884,-106.5321,3030,"ENF",646,6.4,2015,2021,148,256,0.110152639448643,0.120257772505283,0.139716148376465,0.152346768975258,0.163493040204048,0.183127224445343,5051,759,760,1007,1010,1010,505,5741,5741,5741,5717,5312,5080
"31","US_Vcp",35.8642,-106.5967,2500,"ENF",550,9.8,2015,2021,88,274,0.120860204100609,0.134983509778976,0.147309809923172,0.155935347080231,0.168844670057297,0.188964247703552,7878,1182,1183,1577,1572,1578,786,8374,8383,8374,8335,7973,7965
"32","US_Vcs",35.9193,-106.6142,2752,"ENF",550.93,4.6,2016,2021,147,272,0.115441469475627,0.127141624689102,0.142606869339943,0.151112198829651,0.160974514484406,0.173712819814682,1191,182,177,239,240,239,114,1320,1320,1320,1318,1214,1193
"33","US_WCr",45.8059,-90.0799,520,"DBF",787,4.02,2018,2021,161,231,0.154934838414192,0.160269063711166,0.164057672023773,0.167918264865875,0.175245851278305,0.20454403758049,1758,264,265,351,351,351,176,1936,1939,1936,1936,1890,1760
"34","US_Whs",31.7438,-110.0522,1370,"OSH",320,17.6,2016,2020,213,239,0.0609872974455357,0.0668635964393616,0.0763569846749306,0.0864796191453934,0.0980749204754829,0.107675097882748,633,96,95,131,122,130,59,918,923,918,912,861,637
"35","US_Wjs",34.4255,-105.8615,1931,"SAV",361,15.2,2015,2021,204,248,0.185865834355354,0.193230807781219,0.203166574239731,0.212248340249062,0.219260036945343,0.23353123664856,1949,295,290,393,386,390,195,2280,2281,2280,2262,2177,1982
"36","US_Wkg",31.7365,-109.9419,1531,"GRA",407,15.64,2015,2020,212,244,0.0580024197697639,0.0645599834620952,0.0723054632544518,0.0831905826926231,0.0918521285057068,0.103770859539509,777,117,117,156,156,157,74,1229,1233,1229,1220,1186,785
